AGO3_2	s7720	germ_ovaries	111.464569	female	4-8h
AGO3_1	s8165	germ_ovaries	111.691292	female	4-8h
vasa	s8732	germ_ovaries	7.243850	female	4-8h
aub	s2249	germ_ovaries	48.125763	female	4-8h
AGO3_2	s7720	germ_ovaries	104.418098	female	4-8h
AGO3_1	s8165	germ_ovaries	105.942207	female	4-8h
vasa	s8732	germ_ovaries	5.927402	female	4-8h
aub	s2249	germ_ovaries	20.186218	female	4-8h
AGO3_2	s7720	germ_ovaries	122.357040	female	4-8h
AGO3_1	s8165	germ_ovaries	89.179184	female	4-8h
vasa	s8732	germ_ovaries	8.708162	female	4-8h
AGO3_2	s7720	soma_carcass	4.223143	male	late-larva-early-pupa
vasa	s8732	soma_carcass	3.244419	male	late-larva-early-pupa
AGO3_2	s7720	soma_carcass	3.640593	male	late-larva-early-pupa
vasa	s8732	soma_carcass	2.427050	male	late-larva-early-pupa
AGO3_2	s7720	soma_carcass	3.068825	male	late-larva-early-pupa
aub	s2249	germ_testes	75.828583	male	0-4h
AGO3_2	s7720	germ_testes	109.493805	male	0-4h
AGO3_1	s8165	germ_testes	203.184280	male	0-4h
vasa	s8732	germ_testes	26.843111	male	0-4h
aub	s2249	germ_testes	80.911674	male	0-4h
AGO3_2	s7720	germ_testes	114.361397	male	0-4h
AGO3_1	s8165	germ_testes	215.292908	male	0-4h
vasa	s8732	germ_testes	44.265968	male	0-4h
aub	s2249	germ_testes	52.402340	male	0-4h
AGO3_2	s7720	germ_testes	124.217377	male	0-4h
AGO3_1	s8165	germ_testes	193.763397	male	0-4h
vasa	s8732	germ_testes	5.172323	male	0-4h
aub	s2249	germ_testes	6.894524	male	late-larva-early-pupa
AGO3_2	s7720	germ_testes	45.040291	male	late-larva-early-pupa
AGO3_1	s8165	germ_testes	103.029121	male	late-larva-early-pupa
AGO3_1	s8165	germ_testes	6.046277	male	late-larva-early-pupa
vasa	s8732	germ_testes	5.420286	male	late-larva-early-pupa
aub	s2249	germ_testes	0.280441	male	late-larva-early-pupa
AGO3_2	s7720	germ_testes	46.292088	male	late-larva-early-pupa
AGO3_1	s8165	germ_testes	94.297646	male	late-larva-early-pupa
vasa	s8732	germ_testes	4.273304	male	late-larva-early-pupa
aub	s2249	germ_testes	4.833908	male	late-larva-early-pupa
AGO3_2	s7720	germ_testes	45.707943	male	late-larva-early-pupa
AGO3_1	s8165	germ_testes	80.840576	male	late-larva-early-pupa
AGO3_1	s8165	germ_testes	3.182392	male	late-larva-early-pupa
vasa	s8732	germ_testes	5.347116	male	late-larva-early-pupa
aub	s2249	germ_testes	12.052914	male	4-8h
AGO3_2	s7720	germ_testes	114.239349	male	4-8h
AGO3_1	s8165	germ_testes	87.548439	male	4-8h
vasa	s8732	germ_testes	8.777740	male	4-8h
aub	s2249	germ_testes	21.296772	male	4-8h
AGO3_2	s7720	germ_testes	115.692780	male	4-8h
AGO3_1	s8165	germ_testes	94.888313	male	4-8h
vasa	s8732	germ_testes	3.140343	male	4-8h
aub	s2249	germ_testes	12.731886	male	4-8h
AGO3_2	s7720	germ_testes	106.381294	male	4-8h
AGO3_1	s8165	germ_testes	82.441963	male	4-8h
vasa	s8732	germ_testes	48.592236	male	4-8h
