g491.t1_TE-like	s9981.t1	46.032	189	99	2	82	268	489	676	3.23e-56	191	275	678	92
g491.t1_TE-like	s9981.t1	26.271	118	58	2	17	108	214	328	0.016	36.2	275	678	92
g491.t1_TE-like	s14661.t1	41.538	195	110	2	80	270	505	699	4.76e-50	174	275	699	92
g491.t1_TE-like	s14661.t1	34.426	61	40	0	11	71	223	283	0.002	38.9	275	699	92
g491.t1_TE-like	s14837.t1	40.526	190	108	2	82	269	485	671	1.94e-46	164	275	673	96
g491.t1_TE-like	s14837.t1	23.770	122	70	1	5	103	194	315	0.009	37.0	275	673	96
g491.t1_TE-like	s9837.t1	33.803	213	118	6	78	267	84	296	3.43e-28	109	275	299	69
g491.t1_TE-like	s23.t1	33.019	212	120	6	78	267	200	411	8.82e-28	110	275	414	69
g491.t1_TE-like	s2883.t1	33.803	213	118	6	78	267	17	229	1.09e-27	106	275	232	69
g491.t1_TE-like	s280.t1	33.803	213	118	6	78	267	254	466	2.09e-27	109	275	469	69
g491.t1_TE-like	s279.t1	33.803	213	118	6	78	267	398	610	4.30e-27	109	275	613	69
g491.t1_TE-like	s13704.t1	33.173	208	116	6	83	267	402	609	5.67e-26	106	275	612	67
g491.t1_TE-like	s10862.t1	33.173	208	116	6	83	267	402	609	5.67e-26	106	275	612	67
g596.t1_TE-like	s8893.t1	67.692	455	142	2	99	553	183	632	0.0	648	580	675	94
g596.t1_TE-like	s8893.t1	39.865	148	78	5	6	143	7	153	3.86e-21	97.4	580	675	94
g596.t1_TE-like	s10691.t1	66.593	455	147	2	99	553	169	618	0.0	636	580	661	94
g596.t1_TE-like	s10691.t1	48.421	95	36	2	6	100	7	88	2.76e-17	85.1	580	661	94
g596.t1_TE-like	s7208.t1	53.372	519	214	7	65	576	246	743	0.0	546	580	760	98
g596.t1_TE-like	s7208.t1	42.735	117	58	3	11	118	108	224	2.98e-12	69.3	580	760	98
g596.t1_TE-like	s1032.t1	53.372	519	214	7	65	576	246	743	0.0	546	580	760	98
g596.t1_TE-like	s1032.t1	42.735	117	58	3	11	118	108	224	3.14e-12	69.3	580	760	98
g596.t1_TE-like	s4871.t2	38.095	378	223	6	100	477	272	638	1.11e-75	253	580	659	65
g596.t1_TE-like	s4871.t1	38.095	378	223	6	100	477	296	662	2.07e-75	252	580	683	65
g596.t1_TE-like	s2836.t2	38.095	378	223	6	100	477	296	662	2.25e-75	252	580	683	65
g596.t1_TE-like	s2836.t3	38.095	378	223	6	100	477	326	692	3.06e-75	253	580	713	65
g596.t1_TE-like	s4476.t1	37.027	370	224	6	109	477	231	592	3.42e-75	250	580	623	64
g596.t1_TE-like	s2836.t1	38.095	378	223	6	100	477	392	758	2.32e-74	251	580	779	65
g6396.t1_insect-like	s14141.t1	48.723	509	248	7	1	504	1	501	5.70e-168	484	509	507	99
g6396.t1_insect-like	s2584.t1	41.098	528	281	11	1	501	1	525	6.43e-122	367	509	537	98
g6396.t1_insect-like	s3342.t2	30.755	543	327	13	1	508	3	531	2.35e-78	254	509	535	99
g6396.t1_insect-like	s3342.t1	30.112	538	313	13	1	508	3	507	2.22e-75	246	509	511	99
g6396.t1_insect-like	s12890.t1	32.238	487	309	11	32	504	51	530	6.46e-75	245	509	530	93
g6396.t1_insect-like	s408.t1	31.308	543	322	16	1	498	1	537	3.85e-74	244	509	547	98
g6396.t1_insect-like	s1640.t1	30.913	482	297	12	1	454	3	476	2.39e-72	239	509	566	89
g6396.t1_insect-like	s2381.t1	32.823	457	279	12	2	436	12	462	3.31e-70	233	509	540	85
g6396.t1_insect-like	s6352.t1	29.038	520	333	14	2	505	4	503	3.31e-69	229	509	505	99
g6396.t1_insect-like	s2039.t1	31.224	490	289	15	2	463	4	473	1.32e-68	229	509	537	91
g7958.t1_unclear_homology	s6465.t1	78.632	234	48	1	1	234	1	232	2.40e-140	398	266	351	88
g7958.t1_unclear_homology	s12760.t1	73.246	228	61	0	1	228	1	228	2.76e-126	362	266	347	86
g7958.t1_unclear_homology	s14346.t1	71.674	233	64	1	1	233	1	231	1.92e-122	352	266	347	88
g7958.t1_unclear_homology	s8318.t1	71.674	233	64	1	1	233	1	231	1.92e-122	352	266	347	88
g7958.t1_unclear_homology	s4299.t1	61.842	228	87	0	1	228	1	228	8.83e-103	302	266	347	86
g7958.t1_unclear_homology	s2891.t1	61.842	228	87	0	1	228	1	228	8.83e-103	302	266	347	86
g7958.t1_unclear_homology	s10985.t1	59.052	232	95	0	1	232	1	232	1.39e-101	299	266	346	87
